id	title	tags
2585	Tensorflow怎样接收变长列表特征	python,tensorflow,特征工程
2583	Pandas实现数据的合并concat	pandas,python,数据分析
2574	Pandas的Index索引有什么用途？	pandas,python,数据分析
2564	机器学习常用数据集大全	python,机器学习
2561	一个数据科学家的修炼路径	数据分析
2546	Pandas的axis参数怎么理解？	pandas,python,数据分析
2541	Pandas怎样处理字符串？	pandas,python,数据分析
2536	Pandas怎样对数据进行排序？	pandas,python,数据分析
2534	CTR预估：(标签-权重)列表类特征怎么输入到模型？	python,机器学习
2532	Pandas对缺失值的处理	pandas,python,数据分析
2528	Pandas的SettingWithCopyWarning报警怎么回事？	pandas,python,数据分析
2525	3分钟Python爬取9000张表情包图片	python,爬虫
2523	Pandas系列 – 怎样新增数据列？	pandas,python
2521	Pandas系列 – 数据统计函数	pandas,python,数据分析
2517	Pandas怎样根据码表更新ID对应的名称？	pandas
2515	Pandas怎样按条件删除行？	pandas,python
2506	Pandas系列-查询数据的5种方法	pandas,python,数据分析
2502	Pandas系列-DataFrame和Series数据结构	pandas,python,数据分析
2499	Pandas系列-读取csv/excel/mysql数据	pandas,python,数据分析
2469	Spark使用Java开发遇到的那些类型错误	java,spark
2454	推荐系统：实现文章相似推荐的简单实例	pandas,python,sklearn,推荐系统
2447	Spark使用word2vec训练item2vec实现内容相关推荐	item2vec,java,推荐系统
2434	Pandas中对轴axis=0和axis=1的理解	pandas,python
2419	Flask使用Pyecharts在单个页面展示多个图表	echarts,flask,pyecharts,python
2404	听樊登的《非暴力沟通》	程序人生
2367	Java和Python使用Grpc访问Tensorflow的Serving代码	java,python,tensorflow
2351	推荐系统：怎样实现内容相似推荐	推荐系统
2343	Flask怎样从其他Python文件导入app.route视图函数	flask,python
2336	我为什么从工程转了算法？	大数据,程序人生,算法
2324	推荐系统：爱奇艺知识推荐系统架构	推荐系统
2303	Spark使用JAVA编写自定义函数修改DataFrame	java,mysql,spark
2301	tensorflow怎样输入具有多个值的特征	python,tensorflow
2283	Python3用scan和delete命令批量清理redis数据	python,redis
2273	CentOS自己编译安装Python3的命令	python,shell
2261	PyCharm开发PySpark程序的配置和实例	pyspark,python,spark
2231	Spark数据倾斜解决方法	spark
2194	读书笔记 – 数据驱动从方法到实践	人工智能,大数据,数据驱动
2177	使用PaddlePaddle搭建卷积网络做文本数据分类	paddlepaddle,机器学习
2167	使用Kmeans对Word2vec的输出做聚类	机器学习,聚类
2160	Hive实现返回MAP的UDF	hive
2150	Python高级编程技巧	python
2145	快速找到Tomcat中最耗CPU的线程	java,jvm,tomcat
2124	Java线程池ThreadPoolExecutor详解	java
2120	Zookeeper并不保证读取的是最新数据	zookeeper
2089	Mybatis源码解读-初始化过程详解	mybatis
2076	怎样借助Python爬虫给宝宝起个好名字	python,爬虫
2022	Mybatis源码解读-设计模式总结	mybatis,设计模式
2012	打工者心态、主人公意识、个人公司品牌	程序人生
1980	Tomcat内存分析相关方法(jmap和mat)	java,tomcat
1973	如此重要但是经常被忽视的代码架构！	技术架构
1964	Stay hungry, Stay foolish	程序人生
1961	MAC挂载NTFS移动硬盘进行读写操作	mac
1957	工程师的月亮和六便士	程序人生
1946	MAC环境堪比Visio的画图神器	mac
